"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SRPX.10",1.40350969455548e-05,0.287209865496149,0.406,0.524,0.0280701938911096,"17","SRPX"
"CHST15.10",1.46979578731669e-05,-0.109215344128189,0.495,0.573,0.0293959157463339,"17","CHST15"
"HMGA2.10",1.72522587221866e-05,-0.0507122958542166,0.094,0.322,0.0345045174443732,"17","HMGA2"
"CRYAB.10",1.73691235745429e-05,-0.0537495399534196,0.451,0.285,0.0347382471490858,"17","CRYAB"
"CDK15.10",1.75567419346579e-05,-0.235288109403337,0.599,0.44,0.0351134838693158,"17","CDK15"
"MMP16.10",1.77878637820537e-05,-0.536774417345474,0.326,0.449,0.0355757275641074,"17","MMP16"
"CSGALNACT1.10",1.98583251528283e-05,-0.918941664306412,0.774,0.76,0.0397166503056566,"17","CSGALNACT1"
"KCNIP2.10",1.98646809274539e-05,-0.753309182188797,0.727,0.588,0.0397293618549078,"17","KCNIP2"
"PCSK5.10",2.03887844622183e-05,-0.0737195062020573,0.877,0.855,0.0407775689244365,"17","PCSK5"
"AC092691.1.10",2.13623473782461e-05,-0.685487945563806,0.536,0.589,0.0427246947564922,"17","AC092691.1"
"CACNA1E.10",2.1785179155009e-05,-0.0337382280476202,0.432,0.486,0.043570358310018,"17","CACNA1E"
"AC003991.1.10",2.42477642104683e-05,1.16854329345684,0.464,0.35,0.0484955284209365,"17","AC003991.1"
"AL136962.1.10",2.44339048003317e-05,-0.229334629904133,0.318,0.424,0.0488678096006635,"17","AL136962.1"
"FAM111B.10",2.47354156754855e-05,-0.0132668619313883,0.108,0.234,0.049470831350971,"17","FAM111B"
"MYO10.10",2.58787903872761e-05,0.518701765683667,0.575,0.505,0.0517575807745522,"17","MYO10"
"AC011029.1.10",2.6242933184419e-05,-0.0142075570501492,0.269,0.269,0.0524858663688379,"17","AC011029.1"
"NAA11.10",2.78287925453485e-05,0.0498617106231658,0.241,0.259,0.0556575850906971,"17","NAA11"
"LINC00840.10",2.93455956230393e-05,-0.0376590993067039,0.125,0.173,0.0586911912460787,"17","LINC00840"
"AP005230.1.10",3.08038621506977e-05,0.0392774868886972,0.502,0.412,0.0616077243013955,"17","AP005230.1"
"PELI1.10",3.1000165442047e-05,0.539727946287645,0.67,0.656,0.0620003308840939,"17","PELI1"
"KCNU1.10",3.23548105792352e-05,-0.0667255872127591,0.128,0.374,0.0647096211584704,"17","KCNU1"
"PTPRD.10",3.39972232591192e-05,-0.688009321932941,0.561,0.581,0.0679944465182383,"17","PTPRD"
"LINC01197.10",3.43730396910383e-05,1.45434896525309,0.608,0.76,0.0687460793820766,"17","LINC01197"
"LINC01913.10",3.58277762083811e-05,-0.0715053658023012,0.455,0.343,0.0716555524167621,"17","LINC01913"
"MEST.10",3.71039852021574e-05,-0.124919662240167,0.448,0.562,0.0742079704043148,"17","MEST"
"LIPE-AS1.10",3.7518706054833e-05,-0.91646957051668,0.663,0.495,0.0750374121096661,"17","LIPE-AS1"
"PDE11A.10",3.82195446125864e-05,-0.0647150912471955,0.311,0.269,0.0764390892251727,"17","PDE11A"
"FLT3.10",3.84948739594581e-05,-0.0608743510943469,0.139,0.377,0.0769897479189162,"17","FLT3"
"AC077690.1.10",3.97965204472101e-05,-0.0351177482581177,0.575,0.519,0.0795930408944201,"17","AC077690.1"
"CCDC85A.10",4.0227856430302e-05,-0.577141185602862,0.78,0.639,0.080455712860604,"17","CCDC85A"
"STPG2-AS1.10",4.05041805767034e-05,-0.0708153560608189,0.191,0.26,0.0810083611534067,"17","STPG2-AS1"
"PEX5L.10",4.4200025407817e-05,-0.430461954831248,0.552,0.561,0.0884000508156339,"17","PEX5L"
"PFKFB3.10",4.43847554324889e-05,-1.39216450388355,0.78,0.677,0.0887695108649779,"17","PFKFB3"
"TSHR.10",4.78954494084556e-05,0.417028481388712,0.326,0.316,0.0957908988169112,"17","TSHR"
"LINC02341.10",4.97511051937959e-05,-0.0173591562379226,0.148,0.256,0.0995022103875917,"17","LINC02341"
"MYRIP.10",5.06324347667367e-05,-0.633519845789597,0.267,0.335,0.101264869533473,"17","MYRIP"
"AC025159.1.10",5.09348424675688e-05,-0.275766499831263,0.788,0.693,0.101869684935138,"17","AC025159.1"
"EPHA4.10",5.13139900085565e-05,-0.366552524552159,0.444,0.513,0.102627980017113,"17","EPHA4"
"LINC01515.10",5.19644016901563e-05,-0.564058895144058,0.757,0.627,0.103928803380313,"17","LINC01515"
"CHST11.10",5.32416349895831e-05,-1.02219045412489,0.78,0.61,0.106483269979166,"17","CHST11"
"FGF12.10",5.43084854290261e-05,-0.0965118189826885,0.585,0.468,0.108616970858052,"17","FGF12"
"ADAMTSL1.10",6.00514107570767e-05,-0.805815652537641,0.604,0.518,0.120102821514153,"17","ADAMTSL1"
"PRKCH.10",6.35801525876325e-05,0.265762112589755,0.661,0.63,0.127160305175265,"17","PRKCH"
"DIO2-AS1.10",6.43106893127583e-05,-0.0123303861443461,0.214,0.269,0.128621378625517,"17","DIO2-AS1"
"KLHL29.10",6.53717575631006e-05,0.621765835603978,0.674,0.665,0.130743515126201,"17","KLHL29"
"TM4SF19-AS1.10",7.17095413490153e-05,-0.00281374711347602,0.191,0.315,0.143419082698031,"17","TM4SF19-AS1"
"LINC02240.10",7.19400097703038e-05,-0.828852447657576,0.701,0.638,0.143880019540608,"17","LINC02240"
"ADGRL3.10",7.26364278946596e-05,1.74642865245978,0.293,0.273,0.145272855789319,"17","ADGRL3"
"AADACL2-AS1.10",7.32961952006385e-05,0.0527117258109402,0.356,0.286,0.146592390401277,"17","AADACL2-AS1"
"BANK1.10",7.39936021526306e-05,0.0846816238642595,0.602,0.521,0.147987204305261,"17","BANK1"
"TCTEX1D2.10",7.70288363263743e-05,-0.0544866210699315,0.469,0.394,0.154057672652749,"17","TCTEX1D2"
